# /Users/meg/haus/deutsch/VOC/VERBEN
Q,A,R,F
büffeln, 詰め込み勉強をする , 0, 0
versagen, 失敗する , 0, 0
kreieren, 創造する 創案する , 0, 0
versetzen, 移動させる 位置を変える の状態にする , 0, 0
eindringen, 侵入する 入り込む , 0, 0
dringen, 押し進む 染み透る 到達する , 0, 0
dringen auf, あくまで主張する , 0, 0
umgeben, 囲む , 0, 0
schleifen, 磨く 研ぐ , 0, 0
wagen, 危険や困難を冒す あえてやる , 0, 0
fordern, 要求する , 0, 0
fördern, 援助する , 0, 0
bestaunen, 驚嘆する , 0, 0
schürfen, 採掘される , 0, 0
umranken, 巻きつく , 0, 0
beeinträchtigen, 妨げる 損なう , 0, 0
eingreifen, 介入する 侵害する , 0, 0
verzeichen, 許す 容赦する , 0, 0
vertrauen, 信頼する , 0, 0
trauen, 信用する , 0, 0
vergeben, 許す , 0, 0
missfallen, 気に入らない , 0, 0
hinterherlaufen, 急いで走って追いかける しつこく追い回す , 0, 0
gehorchen, 従う , 0, 0
vorziehen, 好む 贔屓にする , 0, 0
endgegenkommen, 譲歩する , 0, 0
beitreten, 入会する , 0, 0
ausweichen, かわす 回避する , 0, 0
ähneln, 似ている , 0, 0
abraten von, 思いとどまるように説得する , 0, 0
versäumen, のがす おざなりにする , 0, 0
gelingen, 成功する -> gelungen , 0, 0
gelangen, 達する -> gealngt , 0, 0
gelangen zu, の状態になる , 0, 0
beklagen, 損害が出る 死者が出る , 0, 0
verlängern, 延長する , 0, 0
verlangen, 必要とする , 0, 0
betragen, 価格が〜になる , 0, 0
sich betragen, ふるまう , 0, 0
tappen, おぼつかない足取りで歩く , 0, 0
gerate, に至る になる という状態になる , 0, 0
sich verstehen, 理解される 価格に含まれない , 0, 0
beeinflussen, 影響を及ぼす , 0, 0
sich verwandeln in, に変わる , 0, 0
warten mit, ~をしないでおく , 0, 0
warten auf, ~を待つ , 0, 0
zögern mit, 〜をためらう , 0, 0
sich vertragen mit, と仲良くする 一致する , 0, 0
streiten mit, 誰々と喧嘩する , 0, 0
streiten um, 〜を巡って争う , 0, 0
streiten über, 〜について議論する , 0, 0
sich erkundigen nach, 〜のことを尋ねる , 0, 0
sich erkundigen bei, 誰々に尋ねる , 0, 0
wetten um, 賭けをする , 0, 0
spielen um, を目指してプレーする , 0, 0
sorgen für, の世話をする , 0, 0
sich sorgen um, について心配する , 0, 0
sich ängstigen vor, を恐れる , 0, 0
sich ängstigen um, のことを気遣う , 0, 0
spotten über, をあざける , 0, 0
verstoßen, 追い出す , 0, 0
verstoßen gegen, に違反する , 0, 0
halten für, とみなす , 0, 0
sich einsetzen für, 努力する 尽力する 支持する , 0, 0
anfertigen, 作り上げる 作成する , 0, 0
ausrichten, 役にたつ 真っ直ぐに揃える , 0, 0
von weichen, 離れる 消えてなくなる 屈する 道をゆずる , 0, 0
ergehen, の境遇にある , 0, 0
ausrichten, 成果を上げる 開催する , 0, 0
angleichen, 一致させる 順応させる , 0, 0
berücksichtigen, 考慮する , 0, 0
auf eingehen, 取り組む 提案などに応じる , 0, 0
eingehen, わかる , 0, 0
erläutern, 解説する , 0, 0
bearbeiten, 編集する , 0, 0
verarbeiten, 材料や情報を処理する , 0, 0
erarbeiten, 作り上げる 開発する , 0, 0
herunterschrauben, 要求を低くする , 0, 0
aufschieben, 延期する , 0, 0
bereuen, 後悔する , 0, 0
mitwirken, 参加する 作用する , 0, 0
nachschlagen, 本で調べる , 0, 0
berechnen, 請求する 見積もる , 0, 0
entscprechen, 適合する 一致する , 0, 0
einschränken, 制限する , 0, 0
zusichern, 確約する , 0, 0
antreten, 始める 踏み出す 位置に着く , 0, 0
sich zusammenreißen, 懸命に堪える , 0, 0
verständigen, 通報する 通知する , 0, 0
abwägen, じっくり比較する , 0, 0
beschatten, 尾行する , 0, 0
nachgehen, 後を追う 専念する 調べる , 0, 0
begütigen, なだめる ayasu , 0, 0
ausersehen, 選び出す , 0, 0
leugnen, 否定する , 0, 0
stelzen, ぎこちなく大股で歩く , 0, 0
schnarren, ギシギシと音を立てる , 0, 0
geizen, 惜しむ 節約する , 0, 0
schlurfen, 足を引きずって歩く , 0, 0
unterdrücken, 抑える 堪える , 0, 0
beeinträchtigen, 損なう 妨げる , 0, 0
vermitteln, 伝える 知らせる , 0, 0
zukommen lassen, 与える , 0, 0
schmoren, 蒸し煮にする , 0, 0
schmoren lassen, 放っておく 待たせる , 0, 0
erliegen, 負ける 屈する , 0, 0
verbieten, 禁止する , 0, 0
entkommen, 逃れる 脱する , 0, 0
aufgehen, 明らかになる , 0, 0
anstellen, する 行う , 0, 0
äffen, たぶらかす 模倣する , 0, 0
ergrimmen, 激怒する , 0, 0
